CCTV관리번호,경도,위도,설치위치명,설치위치주소
CCTV001,36.8625719,127.1504447,001. 새집매 사거리,천안시 서북구 신당동 482-22  세집매삼거리
CCTV002,36.8105742,127.1409331,002. 서부역 입구 삼거리,천안시 서북구 성정동 214-1  서부역입구삼거리
CCTV003,36.8249888,127.1531387,003. 역말 오거리,천안시 동남구 신부동 308-5 역말오거리
CCTV004,36.8218382,127.1625436,004. 천안로 사거리,천안시 동남구 신부동 184-4 천안로사거리
CCTV005,36.833742,127.1738124,005. 안서동 삼거리,천안시 동남구 신부동 16-131 천호지생활공원앞
CCTV006,36.188463,127.1519386,006. 방죽안오거리,천안시 동남구 신부동 391-3 방죽안오거리
CCTV007,36.8095904,127.1480679,007. 천안역,천안시 동남구 대흥동 20-2 천안역
CCTV008,36.7983562,127.1535502,008. 남부오거리,천안시 동남구 영성동 168-3 남부오거리
CCTV009,36.8064803,127.1588667,009. 교보사거리,천안시 동남구 원성동 140-5 교보사거리
CCTV010,36.7821278,127.1654859,010. 청삼교차로,천안시 동남구 삼룡동 401-7 청삼교차로
CCTV011,36.7865645,127.1180694,011. 신방삼거리,천안시 동남구 신방동 791-6 신방삼거리
CCTV012,36.7948239,127.1271973,012. 이마트 사거리,천안시 서북구 쌍용동 392 이마트사거리
CCTV013,36.7997173,127.1266916,013. 쌍용사거리,천안시 서북구 쌍용동 515-3 쌍용사거리
CCTV014,36.807489,127.1328197,014. 봉서사거리,천안시 동남구 봉명동 205-1 봉서사거리
CCTV015,36.8183333,127.1356607,015. 구상골 사거리,천안시 서북구 성정동 702-11 구상골사거리
CCTV016,36.8254002,127.1444072,016. 인쇄창사거리,천안시 서북구 성정동 500-5 인쇄창사거리
CCTV017,36.8336751,127.1382514,017. 부성초교사거리,천안시 서북구 두정동 1194 부성초교사거리
CCTV018,36.8258654,127.1372565,018. 극동사거리,천안시 서북구 성정동 1544  극동사거리
CCTV019,36.8236502,127.1235198,019. 백석삼거리,천안시 서북구 백석동 774 백석삼거리
CCTV020,36.822612,127.1118298,020. 운동장 사거리,천안시 서북구 백석동 729 운동장사거리
CCTV021,36.8014566,127.1152323,021. 쌍용도서관 삼거리,천안시 서북구 불당동 791 쌍용도서관삼거리
CCTV022,36.8113265,127.1148578,022. 동일하이빌 삼거리,천안시 서북구 불당동 246-30 동일하이빌삼거리
CCTV023,36.8019174,127.1059202,023. 고속철 입구,천안시 서북구 불당동 1269 고속철입구
CCTV024,36.8146659,127.1303245,024. 개목삼거리,천안시 동남구 봉명동 131-26 미륵골사거리
CCTV025,36.7897826,127.1548946,025. 우미린A 삼거리,천안시 동남구 청수동 203-18 우미린A 삼거리
CCTV026,36.7863117,127.1579418,026. 세무서,천안시 동남구 청당동 958 세무서
CCTV027,36.7856611,127.1466195,027. 청수 국민연금,천안시 동남구 청당동 949 청수국민은행
CCTV028,36.8001466,127.0993324,028. 펜타포트 사거리,천안시 서북구 불당동 1447 펜타포트사거리
CCTV029,36.7960212,127.0976389,029. 생태터널사거리,천안시 서북구 불당동 1288 생태터널사거리
CCTV030,36.8018333,127.1118562,030. 원형육교,천안시 서북구 불당동 1442 원형육교
CCTV031,36.8064196,127.1644947,031. 도로원점 삼거리,천안시 동남구 구성동 37-1 도로원점삼거리
CCTV032,36.8767668,127.1463629,032. 직산사거리,천안시 서북구 직산읍 삼은리 227-2 직산사거리
CCTV033,36.8769768,127.1997565,033. 저리 교차로,천안시 서북구 성거읍 저리 57-17 저리교차로
CCTV034,36.8394213,127.1192816,034. 성성고가교,천안시 서북구 성성동 520-1 성성고가교
CCTV035,36.7451909,127.1706983,035. 도장리,천안시 동남구 목천읍 소사리 280-68 도장리
CCTV036,36.782071,127.152736,036. 청룡지하차도사거리,천안시 동남구 청당동 537
CCTV037,36.9362308,127.1343423,037. 대홍교차로,천안시 서북구 성환읍 성환리 537-1 대홍교차로
CCTV038,36.8284295,127.1663049,038. 단대입구 사거리,천안시 동남구 신부동 191-9 단대입구사거리
CCTV039,36.6889197,127.1592356,039. 구정사거리,천안시 동남구 광덕면 행정리 49-11 구정사거리
CCTV040,36.8062599,127.1512501,040. 버들육거리,천안시 동남구 오룡동 43-14 버들육거리
CCTV041,36.8065073,127.1450103,041. 와촌초교,천안시 서북구 와촌동 178 와촌초교
CCTV042,36.8250377,127.1025105,042. 불당신도시 입구 삼거리,천안시 서북구 불당동 7-19 불당신도시입구삼거리
CCTV043,36.8220088,127.1079532,043. 푸르지오 106동 사거리,천안시 서북구 불당동 1865 푸르지오106동사거리
CCTV044,36.8156317,127.1095554,044. 우미린 102동 사거리,천안시 서북구 불당동 1877 우미린102동사거리
CCTV045,36.81587,127.1094,045. 시청앞사거리,천안시 서북구 불당동 19-7 시청사거리
CCTV046,36.8131923,127.1051785,046. 호반201동 사거리,천안시 서북구 불당동 1883 호반201동사거리
CCTV047,36.8085102,127.1014132,047. 불당고,천안시 서북구 불당동 1931 불당고
CCTV048,36.807447,127.1070017,048. 불당현대 사거리,천안시 서북구 불당동 722 불당현대사거리
CCTV049,36.775541,127.2132356,049. 고속화도로입구삼거리,천안시 동남구 목천읍 신계리 123-5 고속화도로입구삼거리
CCTV050,36.7861919,127.1285056,050. 새말사거리,천안시 동남구 신방동 111-1 새말사거리
CCTV051,36.7945788,127.1597321,051. 충절오거리,천안시 동남구 구성동 493 충절오거리
CCTV052,36.7976286,127.13044,052. 일봉산사거리,천안시 서북구 쌍용동 543 일봉산사거리
CCTV053,36.8188878,127.1584584,053. 터미널사거리,천안시 동남구 신부동 524 터미널사거리
CCTV054,36.8231428,127.118454,054. 한들사거리,천안시 서북구 백석동 319 한들사거리
CCTV055,36.8339721,127.1336464,055. 노동부사거리,천안시 서북구 두정동 1791 노동부사거리
CCTV056,36.8388364,127.1383729,056. 북부지하차도 사거리,천안시 서북구 두정동 1079 북부지하차도사거리
CCTV057,36.8441042,127.1787484,057. 국지도23호선 오일뱅크앞,천안시 서북구 성거읍 요방리 217-1 국지도23호선 오일뱅크앞
CCTV058,36.8426532,127.1068552,058. 코스트코사거리,천안시 서북구 차암동 520 코스트코사거리
CCTV059,36.8514255,127.1253354,059. 2공단삼거리,천안시 서북구 성성동 299-2 2공단삼거리
CCTV060,36.7751509,127.1394287,060. 청당지하차도,천안시 동남구 구룡동 554-2  청당지하차도
CCTV061,36.8479469,127.155497,061. 송유관입구,천안시 서북구 부대동 81-15 송유관입구
CCTV062,36.789011,127.1646254,062. 삼용사거리,천안시 동남구 삼룡동 398-8 삼룡사거리
CCTV063,36.8230752,127.1519067,063. 두정역사거리,천안시 서북구 두정동 98-1 두정역사거리
CCTV064,36.798571,127.159182,064.충무사거리,천안시 동남구 구성동 496 충무로사거리
CCTV065,36.833198,127.1448798,065.복지회관사거리,천안시 서북구 두정동 1810 복지회관사거리
CCTV066,36.806346,127.152313,066.버들육거리2,천안시 동남구 오룡동 49-1 버들육거리
CCTV067,36.8186074,127.1428129,067.봉정사거리,천안시 서북구 성정동 689-7 봉정사거리
CCTV068,36.7924985,127.1213454,068.예일병원 앞 사거리,천안시 서북구 쌍용동 446-7 예일병원 앞 사거리
CCTV069,36.8018377,127.1316641,069.로데오거리 앞 사거리,천안시 서북구 쌍용동 1160 로데오거리 앞 사거리
CCTV070,36.8774112,127.1539677,070.서북구청 앞 삼거리,천안시 서북구 직산읍 삼은리 432 서북구청 앞 삼거리
CCTV071,36.7747458,127.1336875,071.원형교차로 내,천안시 동남구 신방동 2126 원형교차로 내
CCTV072,36.78516,127.1682522,072.삼거리공원 정문 옆,천안시 동남구 삼룡동 269-28 삼거리공원 정문 옆
CCTV073,36.8383813,127.1752862,073.백석대 삼거리,천안시 동남구 안서동 356-6 백석대 삼거리
CCTV074,36.8972044,127.1349719,074.구 동방주유소 앞,천안시 서북구 성환읍 매주리 169-1 구 동방주유소 앞
CCTV075,36.8443734,127.1216405,075.이수교차로,천안시 서북구 백석동 1144 이수교차로
CCTV076,36.7986021,127.1437241,076.아이비웨딩 앞,천안시 동남구 다가동 406-1 아이비웨딩 앞
CCTV077,36.8635435,127.1176081,077.서북소방서 사거리,천안시 서북구 직산읍 신갈리 287 서북소방서 사거리
CCTV078,36.9138117,127.2304058,078.상장교차로,천안시 서북구 입장면 상장리 80 상장교차로
CCTV079,36.7690099,127.3340514,079.석교교차로,천안시 서북구 성거읍 석교리 53-4
CCTV080,36.7581066,127.2963749,080.병천사거리 회전교차로,천안시 동남구 병천면 병천리 236-9 병천사거리 회전교차로
CCTV081,36.9012449,127.2185297,081.시장교차로,천안시 서북구 입장면 시장리 301 시장교차로
CCTV082,36.8391956,127.1515044,082.두정지하차도 위 신호제어기 앞,천안시 서북구 부대동 201-21 두정지하차도 위 신호제어기 앞
CCTV083,36.9118997,127.1354856,083.복지관사거리,천안시 서북구 성환읍 성월리 산 51-2 복지관사거리
CCTV084,36.7519082,127.3040259,084.창들2교차로,천안시 동남구 병천면 탑원리 393 창들2교차로
CCTV085,36.9560053,127.1303838,085. 한미래아파트 앞 사거리,천안시 서북구 성환읍 복모리 2-2
CCTV086,36.78877466,127.1384179,086. 쉐르빌104동 옆 교차로,천안시 동남구 용곡동 206-5
CCTV087,36.7344688,127.1267221,087. 풍세교차로,천안시 동남구 풍세면 보성리 119-4
CCTV088,36.7689599,127.1430993,088. 엘지로 교차로 ,천안시 동남구 구룡동 479-6
CCTV089,36.8684774,127.1967548,089. 송남교차로,천안시 서북구 성거읍 송남리 347-3
CCTV090,36.8417192,127.1261006,090. 레이크타운 3차 사거리,천안시 서북구 성성동 993
CCTV091,36.8436852,127.1380416,091. 파스쿠찌앞 교차로,천안시 서북구 성성동 807
CCTV092,36.8444805,127.1213203,092. 성성2교차로,천안시 서북구 성성동 520
CCTV093,36.7816226,127.170461,093. 취암산터널,천안시 동남구 삼룡동 126-6
CCTV094,36.79891,127.1646,094. 구성삼거리,천안시 동남구 구성동 50-16
CCTV095,36.7666,127.1664,095.도티리삼거리,천안시 동남구 목천읍 삼성리 212-1
CCTV096,36.76408,127.1396,096.서천안IC삼거리,천안시 동남구 구룡동 631-1
CCTV097,36.866536,127.194938,097.성거교차로,천안시 서북구 성거읍 송남리 218-84
CCTV098,36.721042,127.123286,098.풍서1교차로,천안시 동남구 풍세면 풍서리 436-12
CCTV099,36.787755,127.151041,099.청수초교사거리,천안시 동남구 청수동 244-9
CCTV100,36.766564,127.157913,100.용평사거리,천안시 동남구 구룡동 177-17
CCTV101,36.774612,127.774612,101.청당지하도동삼거리,천안시 동남구 구룡동 551-1
